Entity,EntityIndex,Relation,RelationIndex
['安森美半導體'],[0],[],[]
"['今天', '', '系列矽光電倍增管']","[0, 3, 6]","['發表', '新']","[1, 2]"
"['光學雷達', '擴展到其', '']","[2, 9, 11]","['廣泛', '智慧感測方案']","[10, 12]"
"['ArrayRDM-0112A20-QFN', '市場上首款', '車規', '產品']","[0, 5, 8, 10]",['符合'],[6]
"['汽車產業及其他領域', '應用中', '需求']","[6, 9, 13]","['滿足', '增長']","[1, 11]"
"['ArrayRDM-0112A20-QFN', '單片1', '12', '陣列']","[0, 3, 5, 8]",[],[]
"['安森美半導體', '市場的RDM製程']","[1, 5]",['領先'],[2]
"['外 ', '']","[5, 10]","['實現', '近', '紅', '靈敏度']","[1, 3, 4, 12]"
"['905奈米', '業界的18.5％的光子偵測效率']","[3, 17]","['達到', '領先']","[8, 9]"
"['', '內部增益', '其靈敏度', '光子水準']","[1, 4, 7, 12]","['高', '使', '達到']","[2, 5, 9]"
"['功能', '結合使用']","[2, 6]",['高'],[3]
"['', '信號']","[4, 6]","['檢測', '微弱', '返回']","[1, 3, 5]"
[],[],[],[]
['反射目標'],[4],['低'],[2]
['距離'],[6],"['偵測到', '遠']","[2, 4]"
[],[],[],[]
"['該產品', 'AEC-Q102', '國際汽車電子協會', '國際汽車推動小組', '', '開發']","[1, 3, 5, 12, 14, 17]",['符合'],[2]
['近年來'],[3],['發展'],[5]
"['其', '功能組']","[1, 4]",['獨特'],[2]
['市場深度感測應用的首選感測器'],[9],"['成為', '廣大']","[1, 2]"
"['陽光條件下', '距離', '時', '訊噪', '性能']","[7, 10, 13, 18, 20]","['明亮', '進行', '長', '測', '提供', '佳']","[3, 8, 9, 11, 14, 16]"
"['其他優勢', '電源偏置', '溫度變化敏感性']","[1, 7, 14]","['包括', '低', '低']","[2, 4, 10]"
"['其', '傳統雪崩光電二極體', '系統的理想升級產品']","[1, 7, 16]","['使', '成為', '使用']","[0, 2, 3]"
"['大批量', '製程生產']","[2, 5]",['採用'],[1]
['偵測器成本'],[6],"['實現', '低']","[1, 3]"
"['應用', '市場', '方案']","[2, 6, 8]","['實現', '廣大']","[1, 4]"
"['物體的距離', '跨越', '消費', '工業', '領域']","[5, 7, 11, 13, 15]","['測量', '汽車']","[2, 9]"
['汽車領域'],[2],[],[]
['提升安全性和駕駛輔助系統'],[4],['用'],[2]
['其他感知模式互補'],[5],"['通過', '提供', '冗餘']","[0, 7, 8]"
"['輔助', '車道', '交通', '輔助', '功能']","[0, 2, 5, 7, 9]","['保持', '擁堵']","[3, 6]"
['使用案例'],[8],"['普遍', '用於', '全自動', '駕駛']","[2, 3, 4, 5]"
['機器人運輸'],[2],[],[]
['導航環境'],[5],"['安全', '實時']","[1, 3]"
['ArrayRDM-0112A20-QFN'],[3],"['受益', '高']","[0, 4]"
"['這些功能', '系統', '300米以上的距離測距']","[3, 5, 16]","['支持', '證明']","[0, 8]"
"['距離', '車輛', '更多時間', '意外障礙']","[3, 5, 8, 13]","['遠', '使', '有']","[1, 4, 6]"
"['安森美半導體汽車感測部門', '總監', '', '解析度深度數據', '挑戰的微光條件下', '識別物體']","[3, 5, 11, 15, 23, 28]","['資深', '表示', '提供', '高', '充滿', '準確']","[4, 7, 10, 12, 18, 25]"
"['ArrayRDM-0112A20-QFN', '首款', '車規']","[0, 3, 6]",['符合'],[4]
"['距離、高性價比', '方案']","[7, 9]","['提供', '遠']","[1, 2]"
"['下一層次的安全', '自主性']","[6, 8]",['實現'],[1]
"['我們', '我們的感測器組合']","[0, 7]",['加強'],[3]
"['多樣化', '感知模式']","[1, 6]","['提供', '互補']","[0, 3]"
"['高級別', '駕駛鋪路']","[4, 9]","['實現', '自動']","[1, 7]"
"['技術與市場分析師', '汽車全', '一個關鍵', '部分']","[4, 17, 23, 25]","['表示', '視為', '實現', '自主', '化', '組成']","[6, 14, 15, 18, 19, 24]"
"['其功能', '2', '以上級別']","[1, 4, 8]",['達到'],[3]
"['符合車規', '性能水準的感測器']","[2, 9]","['生產', '具有', '足夠']","[0, 4, 5]"
"['汽車應用大規模', '關鍵推動力']","[4, 9]","['成為', '採用']","[1, 5]"
['目前的趨勢'],[3],[],[]
"['2019年', '2025年之間的複合年增率', '144％']","[2, 8, 12]","['預計', '為']","[0, 9]"
"['半導體全製程', '晶圓', '出廠']","[2, 6, 8]","['介紹', '到']","[3, 7]"
