晶圓,135,0.0127,26.0,0.0
技術,90,0.0085,26.0,0.0
製程,83,0.0078,27.0,-1.3109
晶片,68,0.0064,22.0,4.7352
產品,66,0.0062,22.0,4.596
成本,48,0.0045,17.0,8.4524
表面,45,0.0042,20.0,4.9115
測品,41,0.0039,3.0,34.0015
過程,40,0.0038,20.0,4.3658
設備,40,0.0038,22.0,2.7854
蝕刻,36,0.0034,21.0,3.2019
資源,35,0.0033,4.0,25.6338
半導體,35,0.0033,25.0,0.5737
市場,34,0.0032,14.0,8.6793
客戶,33,0.0031,12.0,10.4749
廠商,32,0.003,10.0,12.4791
測試,31,0.0029,20.0,3.3835
所示,31,0.0029,12.0,9.84
過程中,30,0.0028,17.0,5.2827
方式,30,0.0028,20.0,3.2743
溶劑,28,0.0026,7.0,14.7917
廢溶劑,27,0.0025,1.0,30.519
光阻,27,0.0025,17.0,4.7545
目的,26,0.0025,12.0,8.2529
矽晶圓,26,0.0025,11.0,9.1567
行業,25,0.0024,1.0,28.2583
處理,24,0.0023,6.0,14.0704
程序,24,0.0023,14.0,6.1265
薄膜,24,0.0023,18.0,3.6626
需求,23,0.0022,17.0,4.0501
時間,23,0.0022,18.0,3.51
系統,22,0.0021,17.0,3.874
產業,21,0.002,19.0,2.737
部份,21,0.002,14.0,5.3607
晶矽,20,0.0019,13.0,5.7047
光罩,20,0.0019,20.0,2.1829
IC,20,0.0019,23.0,1.0231
製程中,19,0.0018,14.0,4.8502
功能,19,0.0018,19.0,2.4763
電子,18,0.0017,22.0,1.2534
晶圓上,18,0.0017,18.0,2.747
發展,17,0.0016,22.0,1.1838
離子,17,0.0016,13.0,4.849
測試機台,16,0.0015,4.0,11.7183
晶棒,16,0.0015,10.0,6.2395
工廠,16,0.0015,14.0,4.0844
半導體產業,16,0.0015,10.0,6.2395
金屬,16,0.0015,6.0,9.3803
生產,16,0.0015,21.0,1.4231
氣體,16,0.0015,15.0,3.6359
產能,16,0.0015,13.0,4.5638
影響,15,0.0014,20.0,1.6372
廢棄物,15,0.0014,2.0,14.3136
廢水,15,0.0014,2.0,14.3136
公司,14,0.0013,13.0,3.9933
矽晶圓片,14,0.0013,2.0,13.3594
流程,14,0.0013,6.0,8.2077
分離,14,0.0013,4.0,10.2535
業者,14,0.0013,10.0,5.4596
雜質,14,0.0013,7.0,7.3958
環境,14,0.0013,17.0,2.4653
晶種,14,0.0013,11.0,4.9306
步驟,13,0.0012,18.0,1.9839
缺陷,13,0.0012,11.0,4.5784
晶圓製造商,13,0.0012,1.0,14.6943
全球,13,0.0012,9.0,5.6077
成品,13,0.0012,12.0,4.1265
方法,13,0.0012,15.0,2.9542
電晶體,13,0.0012,12.0,4.1265
設計,13,0.0012,17.0,2.2892
供應商,13,0.0012,3.0,10.7809
收益率,12,0.0011,1.0,13.564
控制,12,0.0011,20.0,1.3097
挑戰,12,0.0011,12.0,3.809
效果,12,0.0011,11.0,4.2262
設備商,12,0.0011,2.0,11.4509
成分,12,0.0011,4.0,8.7887
化學,12,0.0011,19.0,1.564
製造,12,0.0011,25.0,0.1967
切削油,11,0.001,1.0,12.4337
高溫,11,0.001,13.0,3.1376
磷酸,11,0.001,1.0,12.4337
原料,11,0.001,3.0,9.1223
晶圓針,11,0.001,4.0,8.0563
離子,11,0.001,6.0,6.4489
晶圓表面,11,0.001,12.0,3.4916
廢氣,11,0.001,2.0,10.4967
原因,10,0.0009,7.0,5.2827
作用,10,0.0009,12.0,3.1742
一種,10,0.0009,13.0,2.8524
拋光,10,0.0009,10.0,3.8997
循環,10,0.0009,6.0,5.8627
污染,10,0.0009,10.0,3.8997
積體電路,10,0.0009,6.0,5.8627
樹脂,10,0.0009,7.0,5.2827
材料,10,0.0009,18.0,1.5261
趨勢,9,0.0008,14.0,2.2975
品質,9,0.0008,14.0,2.2975
大量,9,0.0008,5.0,5.8789
測試廠,9,0.0008,6.0,5.2764
純水,9,0.0008,5.0,5.8789
裝置,9,0.0008,12.0,2.8568
處理方式,9,0.0008,2.0,8.5882
製程技術,9,0.0008,15.0,2.0452
溫度,9,0.0008,5.0,5.8789
特性,9,0.0008,17.0,1.5848
國內,9,0.0008,9.0,3.8823
濃度,9,0.0008,3.0,7.4637
現象,9,0.0008,12.0,2.8568
電漿,9,0.0008,7.0,4.7545
積體電路,9,0.0008,14.0,2.2975
構裝,9,0.0008,6.0,5.2764
清洗,9,0.0008,15.0,2.0452
測試程式,8,0.0008,2.0,7.6339
印字,8,0.0008,4.0,5.8592
晶粒,8,0.0008,6.0,4.6901
收益概率,8,0.0008,1.0,9.0427
金屬,8,0.0008,13.0,2.2819
風險,8,0.0008,5.0,5.2257
元件,8,0.0008,20.0,0.8732
圖5.3-,8,0.0008,0.0,11.4509
圖6.1-,8,0.0008,0.0,11.4509
晶圓代工,8,0.0008,11.0,2.8175
研磨,8,0.0008,14.0,2.0422
方案,8,0.0008,8.0,3.817
尺寸,8,0.0008,16.0,1.6073
內容,8,0.0008,7.0,4.2262
能力,8,0.0008,5.0,5.2257
情況,8,0.0008,8.0,3.817
良率,8,0.0008,9.0,3.4509
情況下,8,0.0008,7.0,4.2262
覆晶,8,0.0008,6.0,4.6901
磊晶,8,0.0008,8.0,3.817
未來,8,0.0008,11.0,2.8175
矽晶棒,8,0.0008,5.0,5.2257
檢測,8,0.0008,14.0,2.0422
氮氣,8,0.0008,7.0,4.2262
加溫,8,0.0008,5.0,5.2257
污染物,8,0.0008,5.0,5.2257
成長,8,0.0008,16.0,1.6073
原理,8,0.0008,2.0,7.6339
